年份,月份,總計,年齡：０歲-４歲,年齡：５-９歲,年齡：１０歲-１４歲,年齡：１５歲-１９歲,年齡：２０-２４歲,年齡：２５-２９歲,年齡：３０-３４歲,年齡：３５-３９歲,年齡：４０-４４歲,年齡：４５-４９歲,年齡：５０-５４歲,年齡：５５-５９歲,年齡：６０-６４歲,年齡：６５-６９歲,年齡：７０-７４歲,年齡：７５-７９歲,年齡：８０-８４歲,年齡：８５-８９歲,年齡：９０-９４歲,年齡：９５-９９歲,年齡：１００歲以上
106,1,5131,196,107,185,224,327,306,345,390,404,430,483,397,378,277,194,208,175,64,33,7,1
106,2,5138,198,109,179,225,331,304,349,385,406,433,480,396,379,282,195,209,172,65,33,7,1
106,3,5155,201,108,176,225,338,303,346,389,417,429,480,398,379,283,193,210,171,66,35,7,1
106,4,5167,203,105,175,229,336,305,350,387,415,431,478,394,390,280,196,211,172,66,35,8,1
106,5,5185,205,108,175,228,343,300,356,383,416,433,471,399,393,282,198,212,173,66,34,9,1
106,6,5195,202,110,176,227,340,303,359,383,412,430,479,402,395,286,194,213,175,67,32,9,1
106,7,5195,199,114,175,227,345,307,353,379,420,425,478,402,396,288,192,210,176,68,32,8,1
106,8,5175,196,117,170,225,339,302,347,383,416,428,463,422,392,291,193,204,177,72,30,8,0
106,9,5176,196,116,168,230,335,304,349,386,411,423,468,421,393,294,195,203,175,72,28,9,0
106,10,5185,199,118,166,228,332,312,346,383,413,428,461,423,396,301,193,201,174,72,29,10,0
106,11,5188,202,115,165,226,333,314,340,389,413,430,460,425,395,298,197,198,175,74,29,10,0
106,12,5176,202,117,162,227,330,316,334,389,406,433,450,433,395,300,193,201,175,74,29,10,0
